stopword_strategy,model_type,num_features,feature_reduction_%,training_time_sec,accuracy,precision,recall,f1_score
extended,svm,14669,0.8449,0.9113519191741944,0.9123486682808716,0.9070999474796244,0.9123486682808716,0.9070008486460648
none,svm,14794,0.0,1.2067201137542725,0.9108958837772396,0.9073163082664912,0.9108958837772396,0.9058320206136412
nltk,svm,14673,0.8179,0.9314908981323242,0.9099273607748184,0.9044863514460024,0.9099273607748184,0.9044254720199966
minimal,svm,14786,0.0541,1.1699888706207275,0.908958837772397,0.9051857633719936,0.908958837772397,0.9037397893313772
adaptive,svm,1836,87.5896,2.12007999420166,0.9075060532687652,0.9025006587204492,0.9075060532687652,0.9014595900798384
adaptive,lr,1836,87.5896,2.9595088958740234,0.8774818401937046,0.8583118126566006,0.8774818401937046,0.8588472149716928
extended,lr,14669,0.8449,10.948334217071531,0.8726392251815981,0.858296192506719,0.8726392251815981,0.8550955273077875
nltk,lr,14673,0.8179,11.46869945526123,0.8711864406779661,0.8567589404204837,0.8711864406779661,0.8527967632353175
minimal,lr,14786,0.0541,11.746996641159058,0.8658595641646489,0.8486061542981664,0.8658595641646489,0.8451502426313212
none,lr,14794,0.0,11.346386671066284,0.864406779661017,0.8463496752663872,0.864406779661017,0.8430228879798937
adaptive,nb,1836,87.5896,0.0493638515472412,0.7602905569007264,0.7431200698512845,0.7602905569007264,0.7159874438638812
extended,nb,14669,0.8449,0.0665769577026367,0.7176755447941888,0.6204369495859884,0.7176755447941888,0.6345171320581564
nltk,nb,14673,0.8179,0.0715224742889404,0.7142857142857143,0.6038627589707567,0.7142857142857143,0.6298363709700718
minimal,nb,14786,0.0541,0.0720000267028808,0.6900726392251816,0.574541526891021,0.6900726392251816,0.6026987393878258
none,nb,14794,0.0,0.0859174728393554,0.6808716707021791,0.54866106020754,0.6808716707021791,0.5950556852595711
